Date, Open, High, Low, Close, Volume
11/28/18, 85.51, 86.32, 83.92, 85.90, 4197156
11/27/18, 84.68, 85.67, 83.24, 85.04, 3372165
11/26/18, 83.52, 85.01, 82.49, 84.93, 5383834
11/23/18, 83.82, 84.25, 82.42, 82.67, 1906821
11/21/18, 83.94, 85.475, 83.43, 84.02, 3272888
11/20/18, 80.82, 83.43, 80.42, 83.02, 5388835
11/19/18, 86.10, 86.205, 82.72, 83.04, 4461773
11/16/18, 87.45, 87.88, 84.98, 85.97, 4585277
11/15/18, 86.02, 88.28, 84.86, 88.25, 3827363
11/14/18, 88.24, 88.36, 84.98, 85.76, 3591337
11/13/18, 88.33, 89.35, 86.99, 87.39, 3732374
11/12/18, 88.60, 88.88, 86.01, 87.66, 5123595
11/09/18, 92.86, 92.86, 88.22, 88.89, 7236662
11/08/18, 94.01, 94.24, 92.33, 93.87, 5045772
11/07/18, 93.00, 94.63, 92.26, 93.80, 7249240
11/06/18, 92.69, 93.50, 91.57, 92.23, 4121678
11/05/18, 92.57, 93.06, 91.16, 92.69, 4163800
11/02/18, 95.29, 95.80, 91.84, 92.46, 5325388
11/01/18, 91.00, 95.05, 91.00, 94.20, 5444203
10/31/18, 92.00, 95.37, 89.94, 90.98, 17510770
10/30/18, 91.67, 94.83, 91.00, 94.83, 6678692
10/29/18, 95.78, 97.30, 89.12, 91.19, 9957031
10/26/18, 95.93, 98.76, 95.59, 96.22, 4263600
10/25/18, 97.86, 99.48, 97.62, 98.64, 5610929
10/24/18, 98.81, 100.20, 96.10, 96.25, 4851752
10/23/18, 99.41, 100.06, 97.80, 99.09, 6842910
10/22/18, 102.81, 104.24, 101.24, 101.36, 4983068
10/19/18, 106.30, 107.49, 101.98, 102.11, 5432282
10/18/18, 107.34, 107.8524, 104.77, 105.80, 4731813
10/17/18, 107.76, 109.36, 106.94, 108.79, 3196247
10/16/18, 106.76, 108.51, 106.53, 107.42, 5441912
10/15/18, 105.45, 107.03, 104.02, 105.88, 2602018
10/12/18, 106.96, 108.13, 104.41, 106.10, 5384503
10/11/18, 104.45, 105.39, 102.30, 103.60, 6251674
10/10/18, 108.67, 109.12, 104.97, 105.15, 7443778
10/09/18, 110.80, 112.21, 109.29, 109.49, 5238597
10/08/18, 112.82, 113.29, 109.795, 110.62, 4784446
10/05/18, 114.40, 115.75, 111.99, 113.73, 3571443
10/04/18, 116.39, 116.39, 112.76, 114.01, 5235515
10/03/18, 117.49, 118.17, 116.21, 116.39, 3632557
10/02/18, 117.50, 118.24, 116.18, 117.05, 4160109
10/01/18, 121.15, 121.30, 116.29, 117.55, 5742623
